Station Code,Water Quality,Locations,State Name,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,Dissolved Oxygen(D.O.) (mg/l)-Minimum,Dissolved Oxygen(D.O.) (mg/l)-Maximum,Dissolved Oxygen(D.O.) (mg/l)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (µmhos/cm)-Minimum,CONDUCTIVITY (µmhos/cm)-Maximum,CONDUCTIVITY (µmhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N+ NITRITE-N (mg/l)-Minimum,NITRATE- N+ NITRITE-N (mg/l)-Maximum,NITRATE- N+ NITRITE-N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean,FLUORIDE(mg/l)-Minimum,FLUORIDE(mg/l)-Maximum,FLUORIDE(mg/l)-Mean
1001,"""WATER QUALITY OF RIVER- BEAS""","""BEAS AT UPSTREAM MANALI""","""HIMACHAL PRADESH""",2.5,14,9,8.4,10.3,9,7.2,8,8,68,101,85,0.1,0.3,0.1,0.06,0.42,0.2,0,920,106,11,2400,397,NA,NA,NA
1867,"""WATER QUALITY OF RIVER- SATLUJ""","""SATLUJ B/C WITH RIVER SPITI ATKHAB- DISTT.KINNAUR""","""HIMACHAL PRADESH""",1.8,8,6,5.8,9.3,8,7.7,8.5,8,202,372,288,0.1,1.2,0.3,0.03,0.27,0.1,4,350,63,4,2400,493,NA,NA,NA
1306,"""WATER QUALITY OF TRIBUTARY STREAMS- GAWKADAL""","""GAWKADAL- SRG (SHERGHARI- SRG)""","""JAMMU & KASHMIR""",7,10,9,5.6,9.5,8,7.3,7.8,8,145,240,184,2,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304,"""WATER QUALITY OF TRIBUTARY STREAMS- JHELAM""","""JHELAM AT ANANTNAG DOWNSTREAM""","""JAMMU & KASHMIR""",7,21,13,7.5,8.5,8,7.3,7.8,8,180,330,240,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1410,"""WATER QUALITY OF TRIBUTARY STREAMS- JHELAM""","""JHELAM AT DALAGATE (INLET)- SRINAGAR""","""JAMMU & KASHMIR""",7,10,8,7.2,8,8,7.3,7.6,7,120,192,152,2,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1411,"""WATER QUALITY OF TRIBUTARY STREAMS- JHELAM""","""JHELAM AT CHATTABAL WEIR (OUTLET)""","""JAMMU & KASHMIR""",8,9,8,5.5,7,6,7.5,7.8,8,156,189,172,4,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1491,"""WATER QUALITY OF RIVER- GANGA""","""BHAGIRATHI AT GANGOTRI""","""UTTARAKHAND""",3,8,5.5,8,8.9,8.5,7.7,8.1,7.9,88,102,95,NA,NA,NA,0,0.3,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1062,"""WATER QUALITY OF RIVER- GANGA""","""GANGA AT GARHMUKTESHWAR""","""UTTAR PRADESH""",13.5,25,19.6,7,10,8.2,7.2,7.5,7.4,181,290,221,2.8,4.5,3.4,0,0.73,0.5,310,2100,1162,700,,,,,
1492,""" WATER QUALITY OF RIVER- YAMUNA""","""YAMUNA AT YAMUNOTRI""","""UTTARAKHAND""",4,7.9,6,8.2,8.5,8.4,7.6,7.6,7.6,60,88,74,NA,NA,NA,0,0.4,0.2,NA,NA,NA,NA,,,,,
1553,""" WATER QUALITY OF RIVER- YAMUNA""","""YAMUNA - UPSTREAM PAONTA SAHIB""","""HIMACHAL PRADESH""",11,26,20.5,6.1,10.2,8,7,8.2,7.6,273,646,482,0.8,1.6,1.1,0,0.61,0.19,4,15000,1616,10,,,,,
1117,""" WATER QUALITY OF RIVER- YAMUNA""","""YAMUNA AT HATHNIKUND""","""HARYANA""",11,25,20.6,6.2,13.2,9.1,7.3,8.6,7.8,206,360,273,1,3,1.4,NA,NA,NA,400,240000,31218,2300,,,,,
1120,""" WATER QUALITY OF RIVER- YAMUNA""","""YAMUNA AT WAZIRABAD""","""DELHI""",11.6,31.5,24,5,10.3,7.8,7.7,8.6,8,231,1090,594,1,4,2.2,NA,NA,NA,400,46000,9125,1100,,,,,
1497,""" WATER QUALITY OF RIVER- YAMUNA""","""YAMUNA AT MAZAWALI""","""UTTAR PRADESH""",14,32,26.1,0,4.4,1.6,7.2,7.8,7.5,353,1397,991,4,36,14.5,NA,NA,NA,43000,24000000,3283222,93000,,,,,
1072,""" WATER QUALITY OF TRIBUTARY STREAMS- GOMTI ""","""GOMTI AT VARANASI""","""UTTAR PRADESH""",19,27,22.8,7.4,7.6,7.5,7.6,7.9,7.7,232,252,244,3.8,4.2,4,NA,NA,NA,13000,13000,13000,17000,1100000000,550000000,NA,NA,NA
2491,""" WATER QUALITY OF TRIBUTARY STREAMS- RAPTI ""","""RAPTI AT RAJGHAT- GORAKHPUR""","""UTTAR PRADESH""",14,31,24,6.8,7.8,7.5,8.1,8.2,8.1,258,486,387,2.9,7.5,3.6,0.22,1.02,0.55,100,210,158,280,64000,20842,NA,NA,NA
1363,""" WATER QUALITY OF TRIBUTARY STREAMS- RAPTI ""","""RAPTI A/C R. HONIN NR.DOMINGARH RLY BDG- GORAKHPUR""","""UTTAR PRADESH""",15,32,23.5,7.4,8,7.7,8.1,8.2,8.2,338,456,370,2.3,3.4,2.8,0.2,0.82,0.39,40,100,75,160,17000,15500,NA,NA,NA
1354,""" WATER QUALITY OF TRIBUTARY STREAMS- SARYU ""","""SARYU AT AYODHYA AT MAIN BATHING GHAT""","""UTTAR PRADESH""",14,22,18.5,8,9.8,9.1,7.5,8.5,7.7,128,311,226,2.3,2.9,2.6,0.58,0.66,0.62,3100,4900,4091,5800,110000,102000,NA,NA,NA
1355,""" WATER QUALITY OF TRIBUTARY STREAMS- GHAGHARA ""","""GHAGHARA AT DEORIA DOWNSTREAM""","""UTTAR PRADESH""",12,30,23.8,7.4,7.9,7.7,8.1,8.3,8.2,360,476,421,2.3,3.2,2.8,0.22,0.84,0.44,80,140,118,220,4300,2708,NA,NA,NA
2492,""" WATER QUALITY OF TRIBUTARY STREAMS- GHAGHRA ""","""GHAGHRA AT BARHALGANJ- GORAKHPUR""","""UTTAR PRADESH""",10,32,23.5,7.4,7.9,7.6,7.9,8.3,8.1,304,492,425,2.7,3.3,3,0.25,0.86,0.5,100,200,153,240,14000,14000,NA,NA,NA
1076,""" WATER QUALITY OF TRIBUTARY STREAMS- GHAGHARA ""","""GHAGHARA NEAR CHAPRA""","""BIHAR""",14,23,21.1,8.4,9.5,8.8,7.6,8.1,7.8,256,325,297,2.6,2.7,2.6,NA,NA,NA,800,1700,1229,1700,2200,1560,NA,NA,NA
1359,""" WATER QUALITY OF TRIBUTARY STREAMS- RIHAND ""","""RIHAND AT RENUKUT UPSTREAM""","""UTTAR PRADESH""",22,28.5,26.2,6.8,8.9,7.6,7.3,8.1,7.7,142,238,178,1,2.2,1.4,0.67,1,0.82,900,1400,1100,1100,3500,2950,NA,NA,NA
1360,""" WATER QUALITY OF TRIBUTARY STREAMS- RIHAND ""","""RIHAND AT RENUKUT DOWNSTREAM""","""UTTAR PRADESH""",22,28.8,26.3,1.5,8.8,7.2,7.3,8.1,7.7,135,247,185,1.2,7.2,2.1,0.73,1.04,0.89,1100,1600,1300,1700,130000,103367,NA,NA,NA
