Name of the River,Length(Km),No. of Monitoring locations,Year,Temp.(in degree Centigrade),pH,Conductivity(?mhos/cm),Dissolved Oxygen(D.O.)(mg/l),Biochemical oxygen demand(B.O.D.)(mg/l),Total Coliform(MPN/100 ml),Faecal Coliform(MPN/100 ml),,,,,,,,,,,,,
Ganga,2525,34,2002,3-34,6.4-9.0,19-2720,2.7-11.5,0.5 – 16.8,300-25x105,20-11x105,,,,,,,,,,,,,
Yamuna,1376,23,2002,3-34,6.7-9.8,56-1959,0.1-22.7,1.0 – 36,27-26.3x106,11-17.2x105,,,,,,,,,,,,,
Mahi,583,7,2002,19-34,7.1-9.2,175-5720,0.2-8.5,0.1 – 3.0,3-2400,3-75,,,,,,,,,,,,,
Tapi,724,10,2002,20-40,7.4-9.0,76-700,4.8-8.8,0.6 – 10.0,40-2100,2-210,,,,,,,,,,,,,
Narmada,1312,14,2002,NA,6.9-9.3,102-1341,5.8-9.8,0.1 – 3.8,9-2400,2-64,,,,,,,,,,,,,
Godavari,1465,11,2002,22-35,7.0-9.0,118-1400,3.1-10.9,0.5 – 78.0,8-5260,2-3640,,,,,,,,,,,,,
Krishna,1401,17,2002,18-33,6.8-9.5,28-11050,2.9-10.9,0.2 – 10.0,17-33300,3-1 x 103,,,,,,,,,,,,,
Cauvery,800,20,2002,21-37,2.0-9.2,31-53100,0.1-12.6,0.1 – 26.6,39-16 x 103,2-28 x 103,,,,,,,,,,,,,
Mahanadi,851,16,2002,18-38,7.3-8.9,114-15940,1.3-10.4,1.0 – 7.6,15-30000,50-17000,,,,,,,,,,,,,
Brahamani,799,11,2002,20-38,7.0-8.4,81-376,5.2-9.8,1.5 – 6.0,80-90000,40-60000,,,,,,,,,,,,,
Baitarni,NA,5,2002,24-36,7.3-8.3,54-78400,6.8-9.3,2.0 – 6.8,900-22000,700-11000,,,,,,,,,,,,,
Subarnarekha,395,6,2002,18-36,6.5-8.0,113-355,5.2-8.5,0.2 – 12.0,150-1800,70-540,,,,,,,,,,,,,
Brahmaputra,916,6,2002,15-32,6.5-9.0,104-684,1.1-10.5,0.1 – 3.9,360-240000,300-24000,,,,,,,,,,,,,
Satluj,1078,20,2002,9-32,6.8-8.8,131-819,3.8-11.4,0.1 – 45.0,8-35000,2-3500,,,,,,,,,,,,,
Beas,460,19,2002,3-32,7.1-8.7,53-517,5.2-11.5,0.3 – 5.0,2-2400,2-1600,,,,,,,,,,,,,
