Name of the River,Length(Km),No. of Monitoring locations,Year,Temp.(in degree Centigrade),pH,Conductivity(?mhos/cm),Dissolved Oxygen(D.O.)(mg/l),Biochemical oxygen demand(B.O.D.)(mg/l),Total Coliform(MPN/100 ml),Faecal Coliform(MPN/100 ml)
Ganga,2525,34,2003,Apr-34,6.8-8.9,49-1323,11-Apr,0.8-27,91000,26-12x105
Narmada,724,10,2003,18-36,3.1-9.2,119-1130,3.1-10.4,10-Jan,87000,2-230
Godavari,1312,14,2003,31-Dec,7.1-8.5,95-441,4.5-9.5,0.4-3.3,20000,1-110
Krishna,1465,11,2003,22-37,7.1-8.7,115-1350,3.2-9.3,1.7-53,68200,3-1400
Cauvery,1401,17,2003,18-35,6.7-8.9,36-40000,0.7-12.6,0.5-17,63000,2-2 x 104
Mahanadi,800,20,2003,Aug-34,7-9.2,42-57200,2.1-13.5,0.2-10,22000,2-4 x 103
Brahamani,851,16,2003,17-37,6.5-8.6,77-83600,4.7-10.1,0.3-5.6,35000,50-28X103
Baitarni,799,11,2003,17-35,6.6-8.4,69-501,6.1-10.2,0.2-6,24000,60-14x103
Subarnarekha,NA,5,2003,18-36,6.7-7.8,75-54802,5.4-11.3,0.3-3.5,33000,230-9x103
Satluj,916,6,2003,14-32,6.4-8.4,77-570,1.2-11.5,0.4-3.5,24000,300-24x104
Beas,1078,20,2003,30-May,6.9-8.9,164-1226,3.4-11.5,0.1-24,30000,1-1300
