Station Code,Water Quality,Locations,State Name,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,Dissolved Oxygen(D.O.) (mg/l)-Minimum,Dissolved Oxygen(D.O.) (mg/l)-Maximum,Dissolved Oxygen(D.O.) (mg/l)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (µmhos/cm)-Minimum,CONDUCTIVITY (µmhos/cm)-Maximum,CONDUCTIVITY (µmhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N (mg/l)-Minimum,NITRATE- N (mg/l)-Maximum,NITRATE- N (mg/l)-Mean,NITRITE-N (mg/l)-Minimum,NITRITE-N (mg/l)-Maximum,NITRITE-N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean
1233, WATER QUALITY OF RIVER MAHI,MAHI AT BADNAWAR,MADHYA PRADESH,20,32,26,7.4,8.5,7.8,8,7.8,7.6,225,1132,508,0.9,1.9,1.4,0.1,1.2,0.5,0.1,1,0.6,0,0,0,0,140,76
1232, WATER QUALITY OF RIVER MAHI,MAHI (DOWNSTREAM) CONF WITH R.CHAP (UNDER SAGWARA-SARHI RD.BDG.),RAJASTHAN,20,31,26,4.6,6.6,5.7,8,8.3,8.2,390,630,516,0.2,1.46,0.8,0.2,0.7,0.5,NA,NA,NA,3,4,4,7,28,19
1230, WATER QUALITY OF RIVER MAHI,MAHI AFTER CONF.WITH ANAS AT PARDI (BANASWADA),GUJARAT,22,25,24,7.6,13,9.6,8,8.7,8.3,316,360,338,1.1,3.6,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3
1229, WATER QUALITY OF RIVER MAHI,MAHI NEAR RAJASTHAN BORDER AT KADANA DAM,GUJARAT,22,25,24,8,11,9.4,8,8.4,8.2,318,376,346,0.4,4,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3
1863, WATER QUALITY OF RIVER MAHI,MAHI AT UMETA BRIDGE,GUJARAT,22,27,25,8.2,9.9,9.1,8,8.6,8.5,435,435,435,2.8,3.3,3.1,0.3,0.3,0.3,NA,NA,NA,7,7,7,11,11,11
1864, WATER QUALITY OF RIVER MAHI,MAHI AT MUJPUR,GUJARAT,22,27,25,9.2,10,9.7,8,8.3,8.3,485,692,589,2.1,4.2,3.2,0.3,0.3,0.3,0.1,0.1,0.1,4,4,4,11,11,11
1231, WATER QUALITY OF RIVER MAHI,MAHI AT VIRPUR,GUJARAT,24,26,25,8.3,13,11,8,8.5,8.4,329,350,337,0.9,4.6,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4
4, WATER QUALITY OF RIVER MAHI,MAHI AT SEVALIA,GUJARAT,23,29,26,6,12,9.2,7,8.8,8.3,264,470,390,0.5,3.2,1.8,0.1,0.3,0.2,NA,NA,NA,3,3,3,3,7,4
5, WATER QUALITY OF RIVER MAHI,MAHI AT VASAD,GUJARAT,22,28,26,4.6,12,8.1,7,8.9,8.3,400,1660,546,0.2,6.8,2.8,0.1,0.5,0.3,0.2,0.2,0.2,0,18,7,3,210,28
1227,WATER QUALITY OF TRIBUTARY STREAMS OF MAHI-PANAM,PANAM AT LUNAWADA,GUJARAT,23,23,23,11,11,10.8,8,8.2,8.2,370,370,370,3.7,3.7,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4
1228,WATER QUALITY OF TRIBUTARY STREAMS OF MAHI-ANAS,ANAS AT DAHOD-(KUSHALGARH)-PANCHMAHAL,GUJARAT,25,27,26,5.9,8.6,7.3,8,8.5,8.3,408,510,459,1.3,3.8,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4
2102,WATER QUALITY OF TRIBUTARY STREAMS OF MAHI-SHIVNA,SHIVNA AT RAMGHAT- MANDSAUR,MADHYA PRADESH,26,30,28,6.4,7.8,7.2,7,8.9,8.2,254,480,405,NA,NA,NA,0.9,1.7,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2103,WATER QUALITY OF TRIBUTARY STREAMS OF MAHI-JAMMER,JAMMER AT DHOLOWAD- RATLAM,MADHYA PRADESH,22,28,25,5,7.8,7,7,8.6,8.2,239,629,360,NA,NA,NA,0.8,1.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2104,WATER QUALITY OF TRIBUTARY STREAMS OF MAHI-MALEI,MALEI AT JAORA,MADHYA PRADESH,21,29,27,6.2,7.6,7.1,8,8.4,8.3,460,1100,667,NA,NA,NA,0.1,2.1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
2105,WATER QUALITY OF TRIBUTARY STREAMS OF MAHI-CHILLAR,CHILLAR AT SHAJAPUR,MADHYA PRADESH,23,26,25,7,7.8,7.4,7,8.2,7.8,270,550,423,NA,NA,NA,0.6,1.1,1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA
