Station Code,Water Quality,Locations,State Name,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,Dissolved Oxygen(D.O.) (mg/l)-Minimum,Dissolved Oxygen(D.O.) (mg/l)-Maximum,Dissolved Oxygen(D.O.) (mg/l)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (µmhos/cm)-Minimum,CONDUCTIVITY (µmhos/cm)-Maximum,CONDUCTIVITY (µmhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N (mg/l)-Minimum,NITRATE- N (mg/l)-Maximum,NITRATE- N (mg/l)-Mean,NITRITE-N (mg/l)-Minimum,NITRITE-N (mg/l)-Maximum,NITRITE-N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean
1311,WATER QUALITY OF TRIBUTARY STREAMS- PANCHAGANGA,PANCHAGANGA AT ICHALKARANJI,MAHARASHTRA,20,28,24,6.1,6.8,6.4,7,7.8,7,135,611,442,2,2.4,2.2,0.7,1.7,1.3,NA,NA,NA,4,13,8,110,300,205
2163,WATER QUALITY OF TRIBUTARY STREAMS- PANCHAGANGA,PANCHAGANGA RIVER AT SHIROL NEAR SHIROL INTAKE WELL,MAHARASHTRA,19,26,22,4.4,7.4,6.2,7,7.2,6.9,177,682,311,1.6,3.8,2.46,0.2,3,1.2,NA,NA,NA,2,12,7,90,170,121
1904,WATER QUALITY OF TRIBUTARY STREAMS- PANCHAGANGA,PANCHAGANGA UPSTREAM OF KOLHAPUR TOWN,MAHARASHTRA,19,27,21,5,7.3,6.4,6,7.6,7.1,86,3870,711,1.8,2.8,2.23,0.3,2,1.2,0.2,0.2,0.2,4,12,8,2,220,133
1905,WATER QUALITY OF TRIBUTARY STREAMS- PANCHAGANGA,PANCHAGANGA DOWNSTREAM OF KOLHAPUR TOWN,MAHARASHTRA,19,27,21,3.9,6.8,5.9,7,7.5,7,132,293,186,2,5,2.78,0.5,3.8,1.4,NA,NA,NA,4,21,12,140,280,218
1189,WATER QUALITY OF TRIBUTARY STREAMS- BHIMA,BHIMA AT PUNE UPSTREAM VITHALWADI,MAHARASHTRA,20,28,25,0.6,4.4,2.4,7,7.9,7.6,382,572,441,11,28.2,22.2,0.1,0.6,0.3,NA,NA,NA,30,425,209,275,1800,1369
1190,WATER QUALITY OF TRIBUTARY STREAMS- BHIMA,BHIMA AT PUNE- DOWNSTREAM OF BUNDGARDEN,MAHARASHTRA,22,28,24,1,4.1,2.7,7,8,7.6,350,504,442,20,40,31,0.1,0.5,0.2,NA,NA,NA,225,350,265,900,1600,1460
1191,WATER QUALITY OF TRIBUTARY STREAMS- BHIMA,BHIMA AT PARGAON (AFTER CONFLUENCE WITH MULE MARTHA),MAHARASHTRA,23,27,25,3.8,5.8,5.1,7,8.2,7.7,376,737,626,7.1,16,10.1,0.1,0.2,0.2,NA,NA,NA,70,250,129,425,900,606
1192,WATER QUALITY OF TRIBUTARY STREAMS- BHIMA,BHIMA AFTER CONFLUENCE WITH DAUNT,MAHARASHTRA,23,27,25,2.5,6.8,5.3,7,8.2,7.7,282,670,444,4.8,18.4,9.6,0.1,0.2,0.2,NA,NA,NA,70,110,92,425,550,508
1188,WATER QUALITY OF TRIBUTARY STREAMS- BHIMA,BHIMA AT NARSINGHPUR-(DOWNSTREAM AFTER CONFLUENCE WITH RNIRA),MAHARASHTRA,25,33,30,4.3,6.8,5.9,8,8.6,8.2,524,1593,833,5.9,16.2,8.4,0.1,0.3,0.2,NA,NA,NA,35,250,154,250,1600,994
28,WATER QUALITY OF TRIBUTARY STREAMS- BHIMA,BHIMA AT TAKLI,MAHARASHTRA,28,32,30,4.5,6.7,5.9,7,8.8,8.1,670,2006,1245,6,19.4,10,0.1,0.6,0.2,NA,NA,NA,10,225,133,70,1600,920
1183,WATER QUALITY OF TRIBUTARY STREAMS- BHIMA,BHIMA AT DOWNSTREAM OF ROAD BRIDGE AT GANGAPUR VILLAGE,KARNATAKA,23,33,28,6.6,7.4,6.9,8,8.6,8,430,1430,777,1.5,3,2.33,0.1,0.6,0.3,0.1,0.4,0.2,500,30000,7672,500,90000,16450
1184,WATER QUALITY OF TRIBUTARY STREAMS- BHIMA,BHIMA AT FEROZABAD VILLAGE (DOWNSTREAM),KARNATAKA,24,34,29,6.8,7.6,7.2,8,8.7,8.1,490,2000,886,1,3,1.79,0.1,0.6,0.2,0.1,0.2,0.2,50,90000,11402,130,160000,25803
1888,WATER QUALITY OF TRIBUTARY STREAMS- BHIMA,BHIMA AT CONFLUENCE OF JEWARGI TOWN SEWAGE DISPOSAL POINT,KARNATAKA,26,33,29,6.5,7.5,7,8,8.4,8,400,1800,808,1,3,1.75,0.1,0.6,0.3,0.1,0.1,0.1,110,30000,5474,170,90000,18070
1167,WATER QUALITY OF TRIBUTARY STREAMS- BHIMA,BHIMA AT DOWNSTREAM OF BDG NEAR YADGIR,KARNATAKA,25,33,29,6.7,7.4,7.2,8,8.5,8,400,1060,698,1,2.4,1.59,0.1,3.4,0.9,0.1,0.1,0.1,130,5000,1937,240,24000,5924
