Station Code,Water Quality,Locations,State Name,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,Dissolved Oxygen(D.O.) (mg/l)-Minimum,Dissolved Oxygen(D.O.) (mg/l)-Maximum,Dissolved Oxygen(D.O.) (mg/l)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (µmhos/cm)-Minimum,CONDUCTIVITY (µmhos/cm)-Maximum,CONDUCTIVITY (µmhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N (mg/l)-Minimum,NITRATE- N (mg/l)-Maximum,NITRATE- N (mg/l)-Mean,NITRITE-N (mg/l)-Minimum,NITRITE-N (mg/l)-Maximum,NITRITE-N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean
1867,WATER QUALITY OF RIVER- SATLUZ,"B/C WITH RIVER SPITIAT KHAB,DISTT.KINNAUR",Himachal Pradesh,8.9,14.7,11.8,7.2,9.3,8.3,7.5,8,7.7,235,364,316,0.1,0.9,0.4,NA,NA,NA,NA,NA,NA,0,2,1,2,27,11
1389,WATER QUALITY OF RIVER- SATLUZ,SATLUJ AT NEPTHA ZAKHAI,Himachal Pradesh,4.5,15.2,10.2,8.3,9.8,8.9,7.2,8.1,7.8,199,380,312,0.1,0.7,0.3,NA,NA,NA,NA,NA,NA,2,8,5,12,70,32
1086,WATER QUALITY OF RIVER- SATLUZ,SATLUJ AT UPSTREAM RAMPUR,Himachal Pradesh,4.5,13,7.9,8.7,11.4,9.9,7.6,8.3,8,203,313,275,0.1,0.6,0.3,NA,NA,NA,0.37,0.37,0.37,6,20,13,20,110,67
1087,WATER QUALITY OF RIVER- SATLUZ,SATLUJ AT DOWNSTREAM RAMPUR,Himachal Pradesh,6.5,13.2,8.9,7.9,10.2,9.3,7.6,8.5,8,202,314,261,0.2,0.7,0.4,NA,NA,NA,0.31,0.31,0.31,17,52,31,90,170,134
1013,WATER QUALITY OF RIVER- SATLUZ,SATLUJ AT UPSTREAM TATAPANI,Himachal Pradesh,7.5,14.4,10.1,7.9,9.9,9,7.6,7.9,7.7,249,352,301,0.3,0.6,0.4,NA,NA,NA,0.62,0.62,0.62,12,46,24,80,350,154
1014,WATER QUALITY OF RIVER- SATLUZ,SATLUJ AT UPSTREAM SLAPPER,Himachal Pradesh,10,17.5,14.2,7.7,12.4,9.7,7.8,8.2,8,181,484,315,0.2,0.6,0.3,NA,NA,NA,0.46,0.46,0.46,17,79,38,170,540,293
1015,WATER QUALITY OF RIVER- SATLUZ,SATLUJ AT DOWNSTREAM SLAPPER,Himachal Pradesh,10,17.5,14.2,7.8,12.3,9.8,7.8,8.2,8,177,514,300,0.3,0.5,0.4,NA,NA,NA,0.45,0.45,0.45,34,110,63,540,920,667
1016,WATER QUALITY OF RIVER- SATLUZ,SATLUJ AT DOWNSTREAM BHAKHRA,Himachal Pradesh,14,20,17,8.1,10.8,9.2,7.7,8.2,7.9,183,276,218,0.1,0.4,0.2,NA,NA,NA,0.14,0.14,0.14,4,12,8,20,79,42
1017,WATER QUALITY OF RIVER- SATLUZ, AT 100M UPSTREAM OFHEADWORKS-NANGAL,Punjab,16,18,17.3,8.8,8.9,8.8,7.6,7.8,7.7,259,270,265,0,0,0,0.6,1.4,1,0.2,0.6,0.35,0,0,0,35,35,35
1018,WATER QUALITY OF RIVER- SATLUZ,SATLUJ AT 100M DOWNSTREAM -NANGAL,Punjab,17,20,18.5,8,8.8,8.4,7.8,7.8,7.8,282,298,289,0.4,0.8,0.6,1.8,2.8,2.35,0.8,1.8,1.3,9,11,10,110,300,205
1293,WATER QUALITY OF RIVER- SATLUZ,SATLUJ AT 1 KM. DOWNSTREAM OF ZENITH,Punjab,18,20,18.7,7,8.6,7.6,7.5,7.9,7.7,298,598,431,1,2.2,1.6,2.6,3,2.8,0.8,1.8,1.33,110,500,305,500,3000,1533
1019,WATER QUALITY OF RIVER- SATLUZ,SATLUJ AT UPSTREAM HEADWORKS ROPAR,Punjab,17,20,18.5,7.4,8.6,7.8,7.3,7.8,7.5,280,298,290,0.8,1,0.9,1.4,2.8,2.2,0.8,1.6,1.15,50,110,83,230,700,483
1380,WATER QUALITY OF RIVER- SATLUZ,SATLUJ AT DOWNSTREAM NFL,Punjab,18,20,18.8,8.2,8.7,8.4,7.8,7.9,7.9,276,290,284,0.4,0.8,0.6,2,2.4,2.3,0.8,1.6,1.2,50,50,50,110,500,403
1690,WATER QUALITY OF RIVER- SATLUZ,UPSTREAM BUDHA NALLAH (UPPER),Punjab,17,22,19,5.2,6.6,5.9,7.4,7.4,7.4,384,396,388,1,4.5,2.9,1.4,2.4,1.73,0.5,1.8,0.97,90,500,297,900,9000,3633
1020,WATER QUALITY OF RIVER- SATLUZ,AT 100M DOWNSTREAM BUDHANALA CONFL.-LUDHIANA,Punjab,18,23,20,1.2,5.2,3.5,7,7.7,7.3,612,843,728,12,48,28.7,2.1,5.2,3.17,1,4.8,2.43,1100,10000,4533,50000,110000,71667
1021,WATER QUALITY OF RIVER- SATLUZ,AT BOAT BDG.DHARMKOTNAKODARROAD- JALANDHAR ,Punjab,17,23,19.7,1.6,5.4,4.1,7.2,7.6,7.4,402,527,452,5,18,10.3,2,4,2.73,0.7,3.2,1.63,700,5000,2233,11000,30000,18000
1381,WATER QUALITY OF RIVER- SATLUZ,AT DOWNSTREAM EAST BEIN,Punjab,17,18,17.7,5,5.6,5.4,7.2,7.4,7.3,496,750,591,3,6.2,4.1,2.4,3.6,2.8,1.2,2.2,1.6,900,3000,1667,11000,20000,17000
1691,WATER QUALITY OF RIVER- SATLUZ,UPSTREAM HUSSANIWALA -H/W FEROZEPUR,Punjab,16,22,18.7,6,7,6.5,7.5,7.7,7.6,162,492,280,1,2.4,1.7,1,1.4,1.2,0.5,1,0.77,20,100,73,350,500,450
1692,WATER QUALITY OF RIVER- SATLUZ,DOWNSTREAM HUSSANIWALA-H/W FEROZEPUR,Punjab,16,22,18.7,4.2,7,5.8,7.4,7.7,7.6,184,499,291,1.2,2.2,1.6,1.2,1.8,1.47,0.8,1.2,0.93,30,110,83,250,700,483
1022,WATER QUALITY OF RIVER- SATLUZ,SATLUJ AT BRIDGEHARIKE- AMRITSAR,Punjab,17,19,18,5,6.2,5.4,7.2,7.8,7.4,388,510,461,2.4,2.6,2.5,2,2.8,2.33,1.2,1.8,1.47,50,110,90,500,700,567
