Station Code,Water Quality,Locations,State Name,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,Dissolved Oxygen(D.O.) (mg/l)-Minimum,Dissolved Oxygen(D.O.) (mg/l)-Maximum,Dissolved Oxygen(D.O.) (mg/l)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (µmhos/cm)-Minimum,CONDUCTIVITY (µmhos/cm)-Maximum,CONDUCTIVITY (µmhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N (mg/l)-Minimum,NITRATE- N (mg/l)-Maximum,NITRATE- N (mg/l)-Mean,NITRITE-N (mg/l)-Minimum,NITRITE-N (mg/l)-Maximum,NITRITE-N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean
1893,WATER QUALITY OF TRIBUTARY STREAMS- YAGACHI,YAGACHI NEAR PUMPING STATION.HASSAN CITY,KARNATAKA,23,26,24.5,6.4,7.2,6.9,7.4,7.7,7.6,280,500,383,1,2,1.5,0.1,6,1.63,NA,NA,NA,100,200,138,500,1500,813
1199,WATER QUALITY OF TRIBUTARY STREAMS- HEMAVATI,HEMAVATI AT DOWNSTREAM OF HOLENARASIPURA TOWN AT RAMADEVALA WEIR,KARNATAKA,18,24,22,6.9,7.2,7,7,8.2,7.6,350,800,517,1,2,1.67,0.1,0.6,0.27,NA,NA,NA,300,400,333,1450,1800,1617
1200,WATER QUALITY OF TRIBUTARY STREAMS- SHIMSHA,SHIMSHA AT DOWNSTREAM OF HIGHWAYBRIDGE- YEDIYAR,KARNATAKA,20,29,25.7,7.1,8,7.5,7,8.1,7.6,100,600,400,2,3,2.67,7.5,7.5,7.5,NA,NA,NA,110,110,110,1600,1600,1600
1166,WATER QUALITY OF TRIBUTARY STREAMS- SHIMSHA,SHIMSHA AT DOWNSTREAM OF BRIDGE-HALAGUR,KARNATAKA,26,27,26.8,5.2,7.8,6.5,7.9,8.3,8.1,322,562,412,1,1,1,0.6,1.4,1,NA,NA,NA,170,210,190,1600,1600,1600
1165,WATER QUALITY OF TRIBUTARY STREAMS- ARKAVATHI,ARKAVATHI AT DOWNSTREAM OF KANAKAPURATOWN,KARNATAKA,26,28,27,5.6,6.8,6.1,7.7,7.8,7.8,190,1100,763,1,3,2,3.2,15,9.1,7.6,7.6,7.6,17,140,79,1600,1600,1600
1196,WATER QUALITY OF TRIBUTARY STREAMS- LAKSHMANTIRTHA,LAKSHMANTIRTHA AT DOWNSTREAM OF HUNSUR TOWN,KARNATAKA,26,30,28,0.7,3,1.6,7.3,8.1,7.8,278,672,480,2,5.1,3.03,0.2,1.4,0.85,1.3,1.3,1.3,1,1600,801,1600,1600,1600
1207,WATER QUALITY OF TRIBUTARY STREAMS- KABBANI,KABBANI AT MUTHANKARA,KERALA,24,29,26.5,5.9,7,6.6,6.7,7,6.9,62,108,88,0.6,0.8,0.68,0.2,7.2,2.6,0.1,0.4,0.23,0,400,100,240,1200,500
1197,WATER QUALITY OF TRIBUTARY STREAMS- KABBANI,KABBANI AT SARAGUR VILLAGE DOWNSTREAM,KARNATAKA,26,30,27.8,6.5,10.5,7.9,7.5,8.1,7.9,104,209,155,1,1,1,0.2,0.9,0.5,NA,NA,NA,1,600,317,1600,1600,1600
41,WATER QUALITY OF TRIBUTARY STREAMS- KABBANI,KABBANI AT CAUSE WAY SATTUR,KARNATAKA,26,30,28.3,5.3,9.5,6.8,8,8.5,8.2,223,560,348,1,1,1,0.2,1.2,0.63,NA,NA,NA,140,140,140,1600,1600,1600
1445,WATER QUALITY OF TRIBUTARY STREAMS- KABBANI,KABBANI AT WATER INTAKE OF KIADBAT NANJANGUD,KARNATAKA,26,32,28.3,1.8,9.8,5.9,7.4,8.6,8.1,207,492,301,1,2,1.25,0.2,0.5,0.35,NA,NA,NA,1,350,128,1600,1600,1600
1208,WATER QUALITY OF TRIBUTARY STREAMS- BHAVANI,BHAVANI AT ELACHIVAZHY,KERALA,26,29,26.9,6.8,7.7,7.1,7.1,7.7,7.4,45,232,143,0.3,0.4,0.38,0.1,5.6,1.97,0.1,0.5,0.3,0,70,33,140,240,213
