Water Quality,State Name,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,Dissolved Oxygen(D.O.) (mg/l)-Minimum,Dissolved Oxygen(D.O.) (mg/l)-Maximum,Dissolved Oxygen(D.O.) (mg/l)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (æmhos/cm)-Minimum,CONDUCTIVITY (æmhos/cm)-Maximum,CONDUCTIVITY (æmhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N+ NITRITE-N (mg/l)-Minimum,NITRATE- N+ NITRITE-N (mg/l)-Maximum,NITRATE- N+ NITRITE-N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean,FLUORIDE(mg/l)-Minimum,FLUORIDE(mg/l)-Maximum,FLUORIDE(mg/l)-Mean
"""GROUND WATER QUALITY""","""ANDHRA PRADESH""",23,28,25.5,NA,NA,NA,6.82,7.85,7.3,195,226,211,2.9,2.9,3,0.1,0.25,0.2,22,22,22,380,380,380,0.11,0.42,0.27
"""GROUND WATER QUALITY""","""ASSAM""",23,24,23.5,NA,NA,NA,5.9,6.9,6.4,234,518,376,0.3,0.8,0.55,0.1,0.35,0.2,NA,NA,NA,1,1,1,0.56,0.56,0.56
"""GROUND WATER QUALITY""","""HIMACHAL PRADESH""",22,27,24.5,NA,NA,NA,7.58,7.96,7.8,329,408,369,0.2,4,2.1,0.14,2.33,1.24,8,8,8,32,32,32,0.136,0.142,0.14
"""GROUND WATER QUALITY""","""KERALA""",24,28,26.1,NA,NA,NA,5.7,7.5,6.3,120,245,174,0.2,1.4,0.8,0.3,4.5,2.4,2,1100,236,22,3500,779,0.06,0.06,0.06
"""GROUND WATER QUALITY""","""TAMILNADU""",26,29,27.5,NA,NA,NA,7.43,7.7,7.6,1373,1418,1396,NA,NA,NA,0.042,0.343,0.19,NA,NA,NA,NA,NA,NA,0.19,0.59,0.39
"""GROUND WATER QUALITY""","""PONDICHERRY""",30,31,30.5,NA,NA,NA,6.59,6.65,6.6,1914,4920,3417,NA,NA,NA,0.138,0.14,0.14,NA,NA,NA,NA,NA,NA,0.41,0.41,0.41
"""GROUND WATER QUALITY""","""DAMAN""",28,31,29.2,NA,NA,NA,7,7.4,7.2,771,1660,1200,NA,NA,NA,0.3,2.1,1.2,NA,NA,NA,NA,NA,NA,0.37,0.67,0.51
"""GROUND WATER QUALITY""","""DADRA NAGAR HAVELI""",30,30.5,30.3,NA,NA,NA,6.7,7.3,7,385,594,515,NA,NA,NA,4.9,5.3,5.1,NA,NA,NA,4,4,4,0.21,0.23,0.22
"""GROUND WATER QUALITY""","""DADRA NAGARHAVELI""",30,31,30.5,NA,NA,NA,7.1,7.5,7.3,482,657,564,NA,NA,NA,0.3,0.8,0.55,NA,NA,NA,2,2,2,0.32,0.57,0.43
"""GROUND WATER QUALITY""","""MAHARASHTRA""",32,32,32,NA,NA,NA,8.1,8.1,8.1,1077,1077,1077,3.8,3.8,3.8,0.26,0.26,0.26,2,2,2,140,140,140,0.8539,0.8539,0.85
"""GROUND WATER QUALITY""","""GUJARAT""",27,27,27,NA,NA,NA,7.56,7.56,7.6,1180,1180,1180,2,2,2,0.12,0.12,0.12,2,2,2,2,2,2,1.15,1.15,1.15
"""GROUND WATER QUALITY""","""RAJASTHAN""",28,28,28,NA,NA,NA,7.65,8.37,8,2800,10400,6600,0.9,1.47,1.19,1.14,4.2,2.67,4,7,6,20,460,240,1.55,1.6,1.58
"""GROUND WATER QUALITY""","""ORISSA""",25,35,30,NA,NA,NA,7.7,8.1,7.9,251,911.8,581,0.8,1.1,0.95,4.1,6.933,5.51,2,2,2,2,4,3,0.046,0.18,0.11
"""GROUND WATER QUALITY""","""ORISSA """,30,30,30,NA,NA,NA,7.8,7.8,7.8,573.2,573.2,573,0.9,0.9,0.9,0.85,0.846,0.85,2,2,2,2,2,2,0.0701,0.0701,0.07
"""GROUND WATER QUALITY""","""BIHAR""",23,23,23,NA,NA,NA,7.16,7.3,7.2,640,6922,3781,NA,NA,NA,NA,NA,NA,4,8,6,9,23,16,1,1,1
"""GROUND WATER QUALITY""","""WEST BENGAL""",29,30.5,29.8,NA,NA,NA,7.8,7.94,7.9,723,737,730,0.9,2.09,1.5,9.05,11.29,10.17,13,13,13,23,23,23,0.51,0.51,0.51
